,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
2022-06-10_12_20_00,12.169285207012123,11.078342568079648,23.42748584011771,12.528566161541466,6.611302452058927,8.549831175788988,4.250774421615051,28.403271653309314,3.077319277716965,6.932782075506988,2.172965330796644,7.814046053980686,10.963599382798389,3.0469703142491875,3.284490364002341,6.855714722104761,5.815248304720891,1.894969143769772,3.33818772868675,1.2363152234082653,1.6651632309497495,4.2025543069866815,0.8430716353467639,1.005216700287341,3.5853902588590345,0.7986335270188941,9.736551664349282,0.7983093702028664,0.5241937738912317,0.6937590660172825,0.4480192288068671,4.862452814918079,5.707526909099396,2.097704064777808,7.028542484533842,1.175519912225245,2.604492154569984,0.6535852358581213,1.3236949456477467,8.750136739086555,3.2319455102427157,3.818267263500908,1.8270572968529333,13.346742741962569,1.229924032322255
2022-06-10_12_21_00,12.169272747660758,11.078194641200891,23.427473380094145,12.528628461659324,6.611315001749427,8.549694122923961,4.250774421615051,28.403271653309314,3.077343618975569,6.932792680969992,2.172965330796644,7.814070295038982,10.963599382798389,3.046915539224213,3.284387357047554,6.855660151640406,5.8153301605216505,1.894972175012304,3.338261948739269,1.2363167381032147,1.6651632309497495,4.202587650656552,0.8430610324821182,1.0052257884570368,3.586742193110167,0.7986229241540879,9.697078821707455,0.7983184583725625,0.5241917476221936,0.693760580712232,0.4480242944794624,4.858527355601448,5.708057376574617,2.0976434769798327,7.0288062026500935,1.1755244563100933,2.6044547997062493,0.6535821964545641,1.3236964603426962,8.77569418696734,3.235536851967681,3.8233399768863614,1.827030015668493,13.380904845295689,1.2299270610949902
2022-06-10_12_22_00,12.16932258506622,11.078280931880164,23.427535680212,12.528653381706468,6.61122715391593,8.549831175788988,4.250749501567907,28.403271653309314,3.0772888511437104,6.932789650837705,2.172965330796644,7.8154399148326785,10.963570596540352,3.04687293642701,3.2844721863044377,6.855742007336938,5.815160385527482,1.894972175012304,3.3382589193493706,1.2363152234082653,1.665160201559851,4.202599775627414,0.8430595177871689,1.0052273031519865,3.5867937242363315,0.7986335270188941,9.664790024301473,0.7983169436776133,0.5241876950841173,0.6937636101021307,0.4480242944794624,4.860309726318189,5.708215001195825,2.097681344353567,7.028918358630569,1.1755274856999922,2.604496192933631,0.6535832095890832,1.3236782840033037,8.806469758948719,3.2382708763513013,3.8346683804127286,1.827008796969485,13.425303454658613,1.2299058596858436
2022-06-10_12_23_00,12.16919799155256,11.078243950160475,23.427772420659863,12.528591081588608,6.611252253296929,8.549818716437622,4.250712121497192,28.40337133349789,3.0773801308634745,6.932780560440845,2.172959244689796,7.818412474606165,10.963576656805202,3.046909453110327,3.2850266060904985,6.855681373487656,5.815290748469433,1.8949782374973672,3.338255889959472,1.2363167381032147,1.665164745644699,4.202642213025431,0.8430580030922193,1.0052318472368342,3.5868270679062024,0.7986244388490602,9.686029942009297,0.7983199730675121,0.5241947870257507,0.6937560366273838,0.4480242944794624,4.859215447697878,5.708336250904448,2.0975419924182246,7.0290699207663465,1.1755729265484731,2.6132321830929466,0.653581183320045,1.3236964603426962,8.836374381334208,3.241212413942985,3.8455832722179166,1.827026984425778,12.985436819630037,1.229928070685902
2022-06-10_12_24_00,12.16935996312032,11.07829325912006,23.403537674812576,12.528391721211458,6.611365200511425,8.549831175788988,4.250774421615051,28.40334641345075,3.0773862161781254,6.932780560440845,2.172959244689796,7.818412474606165,10.963684226506276,3.046915539224213,3.2844509789902165,6.855754134106795,5.8151997975797,1.8949358001019223,3.338263463434219,1.2363167381032147,1.664716395939685,4.202648275510863,0.8432988395891698,1.0052045827277458,3.586833130391633,0.798618380069171,9.680131143684845,0.7983123995927651,0.5241846556805602,0.6937651247970802,0.448018215672348,4.86537796413858,5.705535382635284,2.097705579472757,7.029209357931261,1.2792401635785722,2.644718294857487,0.6535730782438927,1.3235495349326067,8.295934252787502,3.2438752476639845,3.8518101831547926,1.827048203124787,13.018371269737782,1.2299220131404314
2022-06-10_12_25_00,12.16935996312032,11.078206968440789,23.40369965511901,12.52866584173004,6.611239703606429,8.549818716437622,4.25069966147362,28.40330903338003,3.0773314483462677,6.932792680969992,2.1729166419418577,7.814070295038982,10.963661500513092,3.046921625338099,3.284499452851293,6.855702595334905,5.81525436811354,1.8949630812847085,3.33826043404432,1.2363167381032147,1.6647194253295834,4.202760431491338,0.843064061872017,1.0052151855923912,3.5868543490906424,0.7985699098300568,9.681749827294944,0.7983169436776133,0.5241927607567126,0.6937620954071814,0.4480141631342718,4.85224662069484,5.705774850809812,2.0976328741151877,7.029282107756435,1.1755820147181697,2.644954539130836,0.6535720651093735,1.3235525643225057,8.328524429318229,3.246951593106163,3.864492723965901,1.82703910939664,13.06727733674546,1.2299230227313431
2022-06-10_12_26_00,12.16935996312032,11.078354895319546,23.403824255354728,12.544602211878464,6.611377750201925,8.549893472545818,4.250749501567907,28.40606269858941,3.0773862161781254,6.932765409779409,2.172904469728161,7.814070295038982,10.963676651175216,3.04687293642701,3.284455523414693,6.855699563642441,5.815278621684136,1.8949479250720496,3.338252860569573,1.2362970470688728,1.6647330575841277,4.202790743918493,0.8430670912619157,1.0052106415075432,3.5868755677896518,0.7986244388490602,9.687794125269743,0.7983154289826639,0.5241947870257507,0.6939332559364606,0.4480242944794624,4.8627377517333406,5.705968850343607,2.0977070941677063,7.029397294979625,1.1755698971585746,2.6620984024031498,0.6535781439164879,1.3235555937124044,8.359234869416785,3.250365715522052,3.876567872102309,1.827033046911209,13.112724756024384,1.229924032322255
2022-06-10_12_27_00,12.16923536960666,11.078243950160475,23.40397377563759,12.548277918832168,6.615920738162756,8.549893472545818,4.250936401921486,28.410398786792424,3.077343618975569,6.932777530308558,2.1729166419418577,7.814059689575976,10.96367968130764,3.04687293642701,3.284508541700245,6.855829926418398,5.8152968118620825,1.8949812687398992,3.3383164777574468,1.2364061051052275,1.665535845907296,4.203266649024834,0.8431685758235238,1.0052257884570368,3.588548813768632,0.7986365564088388,9.683356385934184,0.7983078555079172,0.5241927607567126,0.6939499175809037,0.4480242944794624,4.875811501565485,5.706090100052228,2.097538963028326,7.030112668260494,1.175578985328271,2.671425003245835,0.6535649731677401,1.3238630767871271,8.392090117563654,3.2612866661070377,3.890365228396156,1.8270512343675025,13.178299625714295,1.2303167631869232
2022-06-10_12_28_00,12.169297666363487,11.078354895319546,23.404758757122615,12.54836513899717,6.615933287853255,8.549905931897186,4.250874101803626,28.410523387028142,3.077337533660918,6.9327881357715615,2.172959244689796,7.814076355303555,10.963687256638702,3.0469642281353013,3.2845115713165627,6.8558723701128965,5.815315002040029,1.8949661125272403,3.3384164476241054,1.236471236988051,1.6657176093012205,4.2032939302092736,0.8431625170437264,1.0052151855923912,3.5885973136520803,0.798642615188728,9.670306886043765,0.798283620388727,0.5241876950841173,0.6939438588011062,0.4480242944794624,4.847557288213892,5.706262880887014,2.0976616533192254,7.03023694921183,1.175578985328271,2.675328081710634,0.6535710519748544,1.3241493541325589,8.420281619961402,3.2564214659296487,3.899035342286372,1.8270451718820715,13.20134313144086,1.2303793578234512
2022-06-10_12_29_00,12.169297666363487,11.078206968440789,23.404845977287614,12.548427439115027,6.615933287853255,8.549831175788988,4.250936401921486,28.41031156662742,3.077343618975569,6.932726018059679,2.172959244689796,7.8140672649066945,10.963670590910366,3.046921625338099,3.284514600932879,6.855696531949976,5.815293780165757,1.8949479250720496,3.338457344387739,1.236463663513304,1.6657373003355624,4.203381836248025,0.8431579729588782,1.00524245010148,3.588627626079236,0.7986411004937558,9.679900769238465,0.7983063408129676,0.5241876950841173,0.6937878452213206,0.4480192288068671,4.865596213614099,5.7064356617218,2.097663168014175,7.030388511347609,1.1756153380070558,2.6750019838461414,0.6535568680915876,1.3241599569972045,8.173274255787202,3.2594932672869787,3.9082628639179577,1.827014859454916,13.242170937101353,1.2303783482325394
2022-06-10_12_30_00,12.16935996312032,11.078354895319546,23.44865542016632,12.54830283887931,6.615694843733763,8.549818716437622,4.250923941897914,28.410735207428868,3.077361874919522,6.93270480713367,2.172843608659678,7.818424595135314,10.963649379983394,3.046921625338099,3.2845312638226245,6.855711690412297,5.815284685076784,1.8949570187996447,3.338384639030169,1.2364803251577472,1.6657373003355624,4.203327273879145,0.8431549435689794,1.0052197296772394,3.58853668879777,0.798618380069171,9.722323011042514,0.7983154289826639,0.5241846556805602,0.6937908746112195,0.448018215672348,4.865832650545912,5.706493255333396,2.0976798296586177,7.030455198687351,1.1756017057525114,2.671840954701473,0.6520736391556877,1.3241599569972045,8.204534530152381,3.2625711274241063,3.921574003133056,1.826993640755907,13.289816007215812,1.2303904633234803
2022-06-10_12_31_00,12.16935996312032,11.078354895319546,23.40500795759405,12.548190698667163,6.615770141876761,8.549756419680792,4.250786881638622,28.41038632676885,3.077270595199758,6.932782075506988,2.1729166419418577,7.8184276252676,10.96364786491718,3.046958142021415,3.284607004230556,6.855832958110862,5.815390794448139,1.8949358001019223,3.3385255056604604,1.2364803251577472,1.6657297268608156,4.203436398616905,0.8431367672295869,1.0051939798631,3.588642782292814,0.7986304976289496,9.710088915442574,0.7983139142877146,0.5241866819495983,0.693772698271827,0.4480060580581194,4.862052690879628,5.706614505042017,2.0977767701353778,7.030588573366835,1.175595646972714,2.658739493439779,0.6520928887115498,1.3241296630982171,8.228854472259528,3.265464194777411,3.92690875874475,1.827005765726769,13.322604957682035,1.2303813770052747
2022-06-10_12_32_00,12.169297666363487,11.078354895319546,23.404945657476198,12.548003798313587,6.615920738162756,8.549681663572596,4.250874101803626,28.41031156662742,3.077343618975569,6.932769954977839,2.172965330796644,7.814080900501985,10.963650895049607,3.046915539224213,3.284508541700245,6.855842053188255,5.815257399809864,1.8949630812847085,3.338492182371574,1.2364803251577472,1.6657373003355624,4.203536429626518,0.8431685758235238,1.0051909504732013,3.588685219690831,0.7986320123239219,9.70967060394783,0.7983275465422589,0.5241856688150792,0.6937848158314219,0.448018215672348,4.867208834738769,5.706808504575813,2.0977358733717444,7.031458540026196,1.175595646972714,2.642086291350572,0.6520989675186641,1.3241311777931664,8.255682749202839,3.2688631702438053,3.933423461722008,1.82703910939664,13.35932239846944,1.2303743098688926
2022-06-10_12_33_00,12.169310125714857,11.07836722255944,23.405394218324783,12.548402519067889,6.615857989710258,8.549831175788988,4.2508616417800535,28.4097882456374,3.077258424570456,6.932760864580979,2.1728740391939194,7.814059689575976,10.96364028958612,3.046830333629808,3.2850372097476086,6.855954225809429,5.815284685076784,1.8949752062548355,3.338504299931169,1.2364772957678485,1.6657297268608156,4.203615241937122,0.8431610023487768,1.005222759067138,3.588685219690831,0.7986168653741986,9.72253822927532,0.7983199730675121,0.5241795900079649,0.6937696688819283,0.4480131499997528,4.8367630329038365,5.706944910498011,2.097728299896997,7.031573727249387,1.1758925271827914,2.641039345575094,0.6520949149805879,1.3241599569972045,8.279442254178718,3.2719940447041616,3.9387309528246135,1.82703910939664,13.391929474383756,1.2303884441416568
2022-06-10_12_34_00,12.16919799155256,11.078354895319546,23.40604213955052,12.548477279209315,6.615920738162756,8.549893472545818,4.2508616417800535,28.41104670801816,3.0773862161781254,6.932736623522684,2.1729288141555543,7.81406120464212,10.963637259453694,3.04687293642701,3.284490364002341,6.855929972269716,5.815251336417216,1.8949661125272403,3.338464917862485,1.2364485165638104,1.6657191239961702,4.203781960286477,0.8431610023487768,1.0052288178469355,3.588654907263676,0.7986289829339771,9.677315119202104,0.7983381494069045,0.5241795900079649,0.6937878452213206,0.4480242944794624,4.851419091433496,5.707117691332797,2.0977358733717444,7.030828041541362,1.1759213063868297,2.6297087067725986,0.6520918755770309,1.3241523835224578,8.305022422483745,3.2750022288736176,3.944392882545374,1.8270572968529333,13.426088546474343,1.2303874345507453
2022-06-10_12_35_00,12.169347503768954,11.078354895319546,23.406204119856955,12.548489739232888,6.615920738162756,8.549818716437622,4.250936401921486,28.411993669809625,3.077343618975569,6.932762379647123,2.172971416903492,7.814050599179116,10.963652410115818,3.046915539224213,3.2845358082471,6.857112332330733,5.815236177935593,1.8949752062548355,3.338498241151372,1.2364500312587596,1.6656964035719295,4.203939584907685,0.8431610023487768,1.0052091268125938,3.5888095006421685,0.7985911155596692,9.67662399586296,0.7982957379483222,0.5241654061246981,0.6937817864415232,0.4480222682104243,4.856205423681341,5.707278347196722,2.097535933638427,7.031019009832443,1.1759258504716774,2.626427536309432,0.6520868099044355,1.3241629863871034,8.334731649220764,3.2781225004693284,3.956767940281758,1.8275604831437136,13.470329531225616,1.2303884441416568
2022-06-10_12_36_00,12.16935996312032,11.078133005001408,23.40809804343988,12.54850219925646,6.615908188472256,8.549818716437622,4.2508616417800535,28.41540771626832,3.0772949364583613,6.932760864580979,2.172983589117189,7.814088475832703,10.963664530645516,3.046915539224213,3.284552471136845,6.855908750422467,5.81528165338046,1.8949782374973672,3.3384967264564227,1.2364379136991648,1.6657342709456635,4.203963834849409,0.8431685758235238,1.0052273031519865,3.588773125729582,0.7986017184244755,9.678151742191597,0.7983260318473095,0.5241674323937361,0.693772698271827,0.44801618940331,4.868906330659474,5.707460221759654,2.09767377087882,7.031122072084771,1.1756410878211954,2.619506790609431,0.6520837705008783,1.3241569276073055,8.364895284442596,3.281642651531673,3.967290526095059,1.827587764328154,13.513552018486214,1.2303884441416568
2022-06-10_12_37_00,12.169285207012123,11.07836722255944,23.408247563722743,12.54863925951575,6.615770141876761,8.549893472545818,4.250936401921486,28.41520835589117,3.0772888511437104,6.932747228985687,2.172965330796644,7.814124837420146,10.963638774519907,3.0469642281353013,3.2845479267123694,6.85589662365261,5.815405952929761,1.8949752062548355,3.338522476270562,1.2364818398526964,1.6657373003355624,4.204679208130278,0.8431428260093844,1.0052273031519865,3.5888276880984624,0.7985986890345308,9.688936903773502,0.7983320906271071,0.5241795900079649,0.6937908746112195,0.448017202537829,4.843992546780411,5.707620877623579,2.097754049711137,7.031228165579814,1.1756229114818026,2.617946972650788,0.652078704828283,1.324141780657812,8.393076183975696,3.2843872787799384,3.9754850257711714,1.827008796969485,13.554131262259103,1.2303894537325686
2022-06-10_12_38_00,12.16935996312032,11.078219295680682,23.408621364429894,12.54863925951575,6.615770141876761,8.549831175788988,4.250948861945057,28.41596841732905,3.077337533660918,6.932769954977839,2.172867953087071,7.81841398967231,10.963687256638702,3.0469642281353013,3.285129613045285,6.857185092949872,5.815369572573868,1.8949509563145812,3.3385285350503597,1.2364591194284558,1.6657221533860689,4.20477923913989,0.8431519141790806,1.0055120658024683,3.5888428443120395,0.7986365564088388,9.682519762944692,0.7983184583725625,0.5241937738912317,0.6937999627809157,0.4480070711926384,4.854416990479169,5.70771484614776,2.0977025500828583,7.03142216511361,1.1756229114818026,2.612100431680882,0.6520837705008783,1.3241599569972045,8.423183775484402,3.2871485676726477,3.9874647481257695,1.8270421406393555,13.597035469053864,1.2303823865961865
2022-06-10_12_39_00,12.16935996312032,11.078071368801924,23.41447757550868,12.548589419421464,6.615920738162756,8.549893472545818,4.250886561827198,28.41561953666904,3.077343618975569,6.932760864580979,2.1729288141555543,7.8185321648315,10.96384936872342,3.046830333629808,3.28458125249186,6.855954225809429,5.815287716773108,1.894984299982431,3.3385012705412707,1.2364848692425954,1.6656933741820306,4.204118428227902,0.8431685758235238,1.0055166098873167,3.5888974066809194,0.7986335270188941,9.665268960650527,0.7983154289826639,0.5241745243353696,0.6937893599162701,0.4480222682104243,4.856241798593928,5.707920970652417,2.097572286317212,7.031494914938782,1.175659264160588,2.610381098358183,0.6520868099044355,1.3241599569972045,8.453883612718311,3.290361235660269,3.9984099338299455,1.8270421406393555,13.642088826803652,1.2303945016871274
2022-06-10_12_40_00,12.169347503768954,11.078219295680682,23.478534556691677,12.54850219925646,6.615845440019759,8.549818716437622,4.25089902185077,28.414560434665432,3.0773862161781254,6.932763894713266,2.1729775030103404,7.814155138743015,10.963994815079806,3.0469703142491875,3.284557015561321,6.855775355954044,5.815321065432677,1.8949903624674944,3.33850278523622,1.2364742663779495,1.6657191239961702,4.204215427994799,0.8431443407043336,1.0055196392772154,3.5889550002925152,0.7986335270188941,9.645738663834273,0.7983063408129676,0.5241512222414313,0.6937878452213206,0.4480060580581194,4.8529619939757085,5.708048282846471,2.0976919472182125,7.031594945948395,1.4328665841238704,2.6062175454381533,0.6520817442318403,1.3241554129123565,8.481004225786853,3.293342155320637,4.006269685922247,1.827026984425778,13.679812640111608,1.2303864249598335
2022-06-10_12_41_00,12.169335044417588,11.078219295680682,23.415511757465143,12.54863925951575,6.615920738162756,8.549893472545818,4.250824261709338,28.411931369691768,3.0773862161781254,6.932715412596675,2.172940986369251,7.814143018213867,10.963990269881169,3.0469703142491875,3.284561559985797,6.855875401805362,5.815393826144464,1.8949903624674944,3.338560343644296,1.236848396030445,1.6657206386911194,4.204206334266654,0.843165546433625,1.0052318472368342,3.5889368128362213,0.7986335270188941,9.63401078576783,0.7983139142877146,0.5241755374698887,0.6937863305263714,0.4480121368652337,4.864077561013612,5.708190751254101,2.09767377087882,7.032004163714994,1.432869613513769,2.6052513669356148,0.6520979543841451,1.3241599569972045,8.510109089239071,3.296161002621422,4.017217901016321,1.827054265610218,13.72299268997676,1.2303945016871274
2022-06-10_12_42_00,12.169285207012123,11.078354895319546,23.41558651760657,12.543156849144127,6.614477523755309,8.549831175788988,4.250961321968629,28.403508393757186,3.0772888511437104,6.932713897530532,2.172971416903492,7.814126352486289,10.96397208908662,3.0469703142491875,3.2845842821081765,6.855933003962179,5.815354414092246,1.8949994561950896,3.338569431813992,1.2368620282849894,1.6657312415557652,4.204245740421955,0.8431579729588782,1.005213670897442,3.5889853127196703,0.7986486739686173,9.612889086525914,0.7983336053220564,0.5241623667211408,0.6937984480859664,0.4480242944794624,4.839463870163387,5.708393844516042,2.0977025500828583,7.032167850821633,1.443998077306819,2.602419464428175,0.6520847836353973,1.3241372365729638,8.535790742105705,3.2993509501848037,4.023634148821869,1.8270178906976315,13.75820057198334,1.2304015688235097
2022-06-10_12_43_00,12.169347503768954,11.078280931880164,23.419125164300983,12.543156849144127,6.614389675921813,8.549831175788988,4.250961321968629,28.40345855366289,3.077191486109296,6.9326942016706665,2.172831436445981,7.814155138743015,10.963961483623134,3.046830333629808,3.284614578271349,6.856054271660746,5.815381699359167,1.8949752062548355,3.3385103587109666,1.2368529401152932,1.6660538715799815,4.204339708946137,0.8431488847891818,1.0052212443721886,3.5889550002925152,0.7986501886635897,9.595110847999242,0.7983169436776133,0.524182629411522,0.6937984480859664,0.4480141631342718,4.843549985343942,5.708496906768371,2.097582889181858,7.032331537928273,1.418816273773478,2.601730923426366,0.652095928115107,1.3241629863871034,8.563791392939832,3.302865042467351,4.030589628029394,1.827026984425778,13.797127788576413,1.230396520868951
2022-06-10_12_44_00,12.169297666363487,11.078280931880164,23.41583571807801,12.543082089002697,6.614477523755309,8.549743960329426,4.250961321968629,28.403533313804324,3.0773314483462677,6.932753289250263,2.1729166419418577,7.814167259272163,10.96400390547708,3.046921625338099,3.2846176078876668,6.855981511041606,5.815390794448139,1.8949782374973672,3.338522476270562,1.2364742663779495,1.6657342709456635,4.204366990130577,0.8431776639932199,1.0052273031519865,3.589000468933248,0.7986517033585618,9.56430432828116,0.7983230024574107,0.524182629411522,0.6938014774758651,0.4480131499997528,4.840012525094901,5.708627250205139,2.0989597468908388,7.032480068821334,1.3683935936037703,2.5983063910537325,0.6520807310973211,1.3241554129123565,8.58945789885697,3.305726301226718,4.037579945220754,1.8270421406393555,13.81270837518974,1.2304025784144212
2022-06-10_12_45_00,12.16932258506622,11.078354895319546,23.41586063812516,12.543082089002697,6.614402225612312,8.549619366815763,4.250936401921486,28.403545773827894,3.077343618975569,6.932721472861249,2.1729166419418577,7.818562466154369,10.963991784947382,3.0468790225408964,3.28462518192846,6.857203283104657,5.815424143107708,1.8949994561950896,3.33850278523622,1.2364863839375446,1.6657357856406132,4.203894116266952,0.8431640317386756,1.0052318472368342,3.5889459065643683,0.7988274079753508,9.56367989228176,0.7983199730675121,0.5241866819495983,0.6938014774758651,0.4480242944794624,4.864301872974561,5.763468493414776,2.0989143060423574,7.032586162316379,1.317943648924974,2.597586552733659,0.652095928115107,1.3241584423022552,8.614371601384274,3.014859430098449,4.04417038294548,1.8270572968529333,13.811747471307168,1.230396520868951
2022-06-10_12_46_00,12.169135694795727,11.078354895319546,23.41515041678156,12.543206689238415,6.614339477159814,8.549893472545818,4.250961321968629,28.403595613922185,3.077343618975569,6.932771470043983,2.172904469728161,7.818548830559078,10.964008450675715,3.0469277114519846,3.284629726352936,6.855972415964214,5.8165367756587765,1.8949994561950896,3.3385512554746,1.236475781072899,1.6657206386911194,4.203939584907685,0.8431731199083717,1.0052363913216824,3.5890095626613947,0.7986456445786726,9.55561678665841,0.7983305759321577,0.5241856688150792,0.6938014774758651,0.4480242944794624,4.856547954108198,5.763547305725381,2.0988461447696354,7.032604349772672,1.1757001609242208,2.596773832049706,0.6520989675186641,1.3241645010820526,8.641280157159901,3.018070583391121,4.051919562306477,1.8270633593383645,13.81758564442337,1.2304005592325975
2022-06-10_12_47_00,12.16932258506622,11.078354895319546,23.41522517692299,12.543219149261986,6.614477523755309,8.549893472545818,4.250886561827198,28.403595613922185,3.07722191268255,6.932766924845553,2.172959244689796,7.814188470198172,10.963987239748745,3.0469033669964407,3.2846312411610943,6.855975447656677,5.815439301589331,1.8949994561950896,3.3385300497453088,1.2364788104627975,1.6657176093012205,4.204433677470319,0.8431670611285743,1.0052348766267332,3.5890641250302746,0.7986350417138666,9.578972511781684,0.7983351200170057,0.5241775637389268,0.6938014774758651,0.448018215672348,4.861319130142466,5.76365036797771,2.098805248006003,7.032631630957112,1.1757137931787651,2.596376053230479,0.6520878230389545,1.324166015777002,8.666290800163964,3.0212711338191487,3.796064864932985,1.827033046911209,13.834333259411432,1.2303985400507744
2022-06-10_12_48_00,12.1690733980389,11.078354895319546,23.411611770087145,12.543169309167698,6.614402225612312,8.549756419680792,4.250911481874342,28.40344609363932,3.0772888511437104,6.9327745001762695,2.173001847437734,7.814196045528889,10.964020571205417,3.0468790225408964,3.2846373003937286,6.857230568336835,5.815454460070953,1.8950024874376217,3.33852702035541,1.2364772957678485,1.6657266974709168,4.204366990130577,0.8431761492982706,1.0052257884570368,3.5891186873991545,0.798647159273645,9.61467448848537,0.7983320906271071,0.524181616277003,0.6937620954071814,0.4480242944794624,4.851555497355696,5.763774648929046,2.098915820737307,7.032740755694872,1.1757183372636133,2.59439624545255,0.6520979543841451,1.324166015777002,8.689021827269217,3.024152083612858,3.8003211577407257,1.827060328095649,13.19605361322291,1.2303985400507744
2022-06-10_12_49_00,12.169285207012123,11.078280931880164,23.41163669013429,12.54324406930913,6.614402225612312,8.549831175788988,4.250998702039344,28.40352085378075,3.0773131924023143,6.932760864580979,2.1728740391939194,7.814206650991894,10.96406299305936,3.0468546780853525,3.285193234987948,6.857209346489585,5.815430206500357,1.8949994561950896,3.338596696323081,1.2364803251577472,1.6656888300971826,4.204427614984888,0.8431746346033213,1.0052242737620876,3.591649775066634,0.798647159273645,9.596917468657708,0.7983336053220564,0.5241866819495983,0.6937954186960675,0.4480141631342718,4.861913253714712,5.763826180055212,2.0989779232302315,7.0327831930928895,1.1757228813484617,2.593953035042295,0.6520797179628021,1.324166015777002,8.444166844618078,3.0269300341500096,3.8048667572837966,1.827060328095649,13.22689044349867,1.230399549641686
2022-06-10_12_50_00,12.16923536960666,11.078280931880164,23.4130072927272,12.543256529332702,6.614414775302811,8.549893472545818,4.250998702039344,28.40344609363932,3.0772949364583613,6.932772985110127,2.172971416903492,7.814206650991894,10.96402360133784,3.0469764003630733,3.284640330010046,6.856005764581319,5.815436269893006,1.8950115811652168,3.338628504917017,1.2364803251577472,1.6657251827759674,4.204424583742172,0.8431791786881693,1.005233361931784,3.5917255561345227,0.7986441298837004,9.586890117754686,0.7983230024574107,0.5241907344876745,0.6938045068657638,0.4480192288068671,4.864774746838187,5.763926211064824,2.0989355117716486,7.032895349073365,1.1757274254333097,2.5927496026754966,0.6520928887115498,1.32417055986185,8.46859735945653,3.0304638174668987,3.809703178257148,1.8270421406393555,13.260000705673262,1.2303985400507744
2022-06-10_12_51_00,12.16923536960666,11.078280931880164,23.41310697291577,12.543181769191271,6.614477523755309,8.549818716437622,4.250998702039344,28.40344609363932,3.0773862161781254,6.932756319382549,2.1729166419418577,7.814196045528889,10.964019056139202,3.046921625338099,3.2851947497961067,6.855929972269716,5.81541201632241,1.8950115811652168,3.3385618583392453,1.2364772957678485,1.6657297268608156,4.204457927412044,0.8431716052134225,1.005233361931784,3.591834680872283,0.798647159273645,9.573822430407972,0.7983381494069045,0.5241866819495983,0.6937939040011183,0.4480242944794624,4.845893135963058,5.764008054618143,2.098814336175699,7.033025692510132,1.1780933789442316,2.592642586038852,0.6520928887115498,1.3241720745567995,8.491335960036531,3.0331145336283027,3.8148622292547154,1.827060328095649,13.290907254527252,1.2303985400507744
2022-06-10_12_52_00,12.169297666363487,11.078330240839753,23.41316927303363,12.543194229214844,6.614414775302811,8.549893472545818,4.250923941897914,28.403595613922185,3.0773862161781254,6.932763894713266,2.1729227280487056,7.814212711256467,10.964029661602687,3.0469703142491875,3.284632755969253,6.856039113198424,5.815433238196682,1.8950115811652168,3.338586093458436,1.2364803251577472,1.6657221533860689,4.204454896169327,0.8433988094558287,1.005233361931784,3.59184983708586,0.798647159273645,9.56143374142954,0.7983381494069045,0.524182629411522,0.6938045068657638,0.4480242944794624,4.870743263745094,5.764038367045299,2.098961261585788,7.03308934860716,1.1776041324755837,2.591535064808669,0.652095928115107,1.3241720745567995,8.515342360289157,3.036089394508873,3.8191730510806337,1.8270694218237955,13.3209226180769,1.2306973789606503
2022-06-10_12_53_00,12.169372422471683,11.078305586359958,23.41324403317506,12.543144389120556,6.614402225612312,8.549831175788988,4.250998702039344,28.40360807394575,3.0773131924023143,6.932765409779409,2.172892297514464,7.818586707212664,10.964014510940563,3.0469277114519846,3.2846569928997917,6.856023954736104,5.815433238196682,1.8950176436502808,3.338634563696816,1.2364803251577472,1.6657312415557652,4.204467021140189,0.8433972947608791,1.0052288178469355,3.591840743357714,0.7986456445786726,9.575322895552167,0.7983199730675121,0.5241856688150792,0.6938075362556626,0.448018215672348,4.8536713047711455,5.764074741957885,2.098949144026193,7.03308934860716,1.1771300329564298,2.5914462208084363,0.6520989675186641,1.32417055986185,8.539563847224596,3.039571678197484,3.8241563974640735,1.82706639058108,13.352677914839786,1.2306963693697386
2022-06-10_12_54_00,12.16935996312032,11.078354895319546,23.413455853575783,12.54311946907341,6.614414775302811,8.549893472545818,4.250923941897914,28.40269849222501,3.0772888511437104,6.932795711102278,2.172904469728161,7.818588222278808,10.96400996574193,3.0468364197436943,3.284644874434522,6.856057303353209,5.815433238196682,1.8950115811652168,3.345958113777038,1.2364803251577472,1.6657297268608156,4.204482177353768,0.8433988094558287,1.0052288178469355,3.591910461940171,0.798647159273645,9.553767728601926,0.7983351200170057,0.5241958001602698,0.693809050950612,0.4480242944794624,4.85642367315686,5.764138398054912,2.09900367304437,7.033143910976039,1.1769179756635173,2.5910746913529143,0.652095928115107,1.32417055986185,8.563874701162048,3.042682861623498,3.829223052069729,1.8270694218237955,13.38556992755209,1.2306943501879153
