,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
2022-06-10_12_00_00,12.169148154147097,11.078354895319546,23.338022870871665,12.528354341140744,6.611390299892424,8.549756419680792,4.25043800097861,28.20943106660169,3.077246253941154,6.932751774184117,2.172861866980223,7.804139036468535,10.948968388385891,3.04687293642701,3.2844252272515204,6.809490507103923,5.815393826144464,1.894869112766224,3.337471277975696,1.2363152234082653,1.664545235410405,4.201114466696797,0.8430655765669663,1.005216700287341,3.5737078494333248,0.7986092918993372,9.655714483611131,0.7982957379483222,0.524182629411522,0.6938817563081819,0.4480242944794624,4.848403004931528,5.7046775409467845,2.096601366854664,7.028888046203415,1.1752487818293074,2.5856218908385884,0.6535771307819688,1.3234419915912017,8.882922471823418,3.171304697944532,3.8658847286243754,1.824829333457008,13.64007305052002,1.229802881412846
2022-06-10_12_01_00,12.169272747660758,11.07829325912006,23.329238554253497,12.528528781470747,6.611315001749427,8.549831175788988,4.250562601214329,28.210004227686,3.077319277716965,6.932762379647123,2.1729166419418577,7.804157217262257,10.948965358253464,3.046939883679757,3.284428256867837,6.8095511409532055,5.815430206500357,1.8239835061606369,3.337507630654481,1.2363227968830124,1.6146345221335858,4.200174781454978,0.8430610324821182,1.0052242737620876,3.5738109116856527,0.7513841320524406,9.64702694198838,0.7982866497786258,0.5241876950841173,0.6938908444778781,0.4480131499997528,4.852677057160447,5.70482304059713,2.0966286313637523,7.029269982785573,1.1265831478008737,2.6824941580021893,0.6535669994367782,1.3234616826255432,8.910223333590933,3.173925120206948,3.873994405383322,1.7234948894763438,13.678533455763198,1.2008044016548405
2022-06-10_12_02_00,12.16923536960666,11.078280931880164,23.41689482008162,12.528516321447178,6.611377750201925,8.549893472545818,4.250562601214329,28.21037802839315,3.077343618975569,6.932729048191966,2.1729349002624025,7.804202669246561,10.948998689710136,3.046915539224213,3.2844312864841547,6.809581457877847,5.815354414092246,1.849473224610343,3.337481880840342,1.2363227968830124,1.6442180291898076,4.200253593765583,0.8430822382114095,1.0052242737620876,3.573850317840955,0.7986259535440324,9.659170100306854,0.7982866497786258,0.5241876950841173,0.6938817563081819,0.4480242944794624,4.818502826785394,5.70545657032468,2.096501396988005,7.029594325756136,1.1753593545606118,2.585728907475233,0.6535771307819688,1.323464712015442,8.937410593237244,3.176843937374392,3.883883848707785,1.8197035020250216,13.718445826179096,1.2299260515040784
2022-06-10_12_03_00,12.169297666363487,11.078256277400373,23.42069512727104,12.528416641258602,6.611315001749427,8.549818716437622,4.250537681167185,28.2096927270967,3.0773862161781254,6.932766924845553,2.1728740391939194,7.804122370740958,10.94903202116681,3.0469642281353013,3.2844434049494238,6.8095662994155255,5.815436269893006,1.8583790151687007,3.337515204129228,1.2363227968830124,1.6644588977982908,4.200474874483817,0.8430716353467639,1.0052242737620876,3.5817739862993894,0.7986274682390049,9.629788264665075,0.7982987673382208,0.5241876950841173,0.6937166545587001,0.4480242944794624,4.853931991644682,5.705856694363131,2.096599852159714,7.029751950377344,1.2450338075368617,2.585701648520616,0.6535771307819688,1.3234631973204924,8.970218885840683,3.180612498408434,3.897043518427945,1.8234228368369951,12.743398165952769,1.2299270610949902
2022-06-10_12_04_00,12.16935996312032,11.078280931880164,23.420769887412472,12.52854124149432,6.611352650820926,8.549756419680792,4.25063736135576,28.2096927270967,3.077319277716965,6.932803286432996,2.172940986369251,7.804131461137818,10.949009295173624,3.046921625338099,3.2844418901412644,6.810806261633362,5.815427174804032,1.8949630812847085,3.3375091453494306,1.2363227968830124,1.6644573831033416,4.200550655551706,0.8430701206518145,1.005222759067138,3.5852265717523943,0.7986395857987834,9.663095559623484,0.7983048261180183,0.5241836425460411,0.6937257427283964,0.4480202419413862,4.849439689940245,5.706159818634686,2.097567742232364,7.029927762454847,1.2474452018962647,2.5857713102935267,0.6535832095890832,1.3234677414053406,8.994572151236717,3.1835979621536503,3.901882968791195,1.82341980559428,12.77582942980024,1.2299270610949902
2022-06-10_12_05_00,12.16935996312032,11.078354895319546,23.42089448764819,12.528329421093598,6.611352650820926,8.549831175788988,4.25063736135576,28.20970518712027,3.0773862161781254,6.932776015242414,2.172910555835009,7.804132976203962,10.948992629445288,3.04687293642701,3.284437345716789,6.80955417264567,5.815436269893006,1.8949600500421768,3.337524292298924,1.2363227968830124,1.6644543537134429,4.200596124192439,0.8430716353467639,1.0052288178469355,3.5852508216941192,0.7986320123239219,9.65723313621162,0.798303311423069,0.5241907344876745,0.6937272574233457,0.4480242944794624,4.8600763206290925,5.703365012850954,2.097646506369732,7.030785604143346,1.175685013974727,2.585748089702556,0.6535771307819688,1.32346925610029,9.018025687832822,3.1866046316281573,3.906740595493837,1.8234228368369951,12.80628735475953,1.2299290802768137
2022-06-10_12_06_00,12.16935996312032,11.078354895319546,23.421093848025343,12.528553701517891,6.611315001749427,8.549893472545818,4.250599981285045,28.2096927270967,3.077173230165343,6.932766924845553,2.172953158582948,7.80792215662878,10.953186332721025,3.046921625338099,3.284454008606534,6.809593584647704,5.815436269893006,1.8949570187996447,3.3375273216888237,1.2363243115779616,1.6644619271881895,4.200650686561319,0.8430746647366625,1.005230332541885,3.585296290334852,0.7986320123239219,9.654126112428187,0.798303311423069,0.5241927607567126,0.6937302868132444,0.448018215672348,4.855556737740215,5.703616605996344,2.09750563973944,7.031022041075158,1.175394192544447,2.586303364704015,0.6535842227236023,1.3234677414053406,9.043178712162126,3.189537081050145,3.912755449137801,1.8270239531830623,12.841261831091163,1.2299290802768137
2022-06-10_12_07_00,12.169372422471683,11.078280931880164,23.42120598823749,12.52846648135289,6.6111895048444325,8.549893472545818,4.250537681167185,28.20968026707313,3.077367960234173,6.932765409779409,2.172965330796644,7.807923671694923,10.95321057378042,3.046799903060378,3.284457038222852,6.809487475411458,5.815402921233437,1.8949661125272403,3.3375333804686207,1.2363227968830124,1.6644619271881895,4.20065674904675,0.843076179431612,1.005230332541885,3.5853326652474387,0.7986304976289496,9.653019708837013,0.7983169436776133,0.5241927607567126,0.6937333162031433,0.4480192288068671,4.84287704946109,5.703819699258285,2.0976480210646806,7.031179665696366,1.1753835896798015,2.585758185611674,0.6535781439164879,1.32349349121948,9.07642929569078,3.192624029356969,3.927569165742677,1.827030015668493,12.891680488122198,1.2299290802768137
2022-06-10_12_08_00,12.16935996312032,11.078280931880164,23.42130566842606,12.52840418123503,6.611327551439926,8.549831175788988,4.250624901332188,28.27229188552179,3.077337533660918,6.932794196036135,2.1729775030103404,7.812262821129821,10.9531833025886,3.046915539224213,3.285014487625229,6.809593584647704,5.815430206500357,1.8949630812847085,3.337507630654481,1.2363182527981642,1.6644588977982908,4.200677967745759,0.8430943557710044,1.0052242737620876,3.585341758975585,0.7986320123239219,9.655296172116383,0.7983139142877146,0.5241958001602698,0.6937333162031433,0.4480242944794624,4.847187476602596,5.704104636073547,2.097667712099023,7.031303946647703,1.175433574613131,2.586104475294402,0.6535832095890832,1.3234904618295813,9.101826185906932,3.195498920370881,3.9353047128491294,1.82703910939664,12.927706805612358,1.2299310994586372
2022-06-10_12_09_00,12.169297666363487,11.078145332241304,23.42131812844964,12.52847894137646,6.611377750201925,8.549893472545818,4.250649821379332,28.272217125380354,3.077301021773013,6.932785105639275,2.172867953087071,7.81227494165897,10.953254510700578,3.046915539224213,3.284500967659452,6.809572362800455,5.815378667662842,1.8949600500421768,3.3375030865696336,1.2363031058486704,1.6644588977982908,4.20068403023119,0.8430792088215107,1.0055166098873167,3.5852265717523943,0.7986320123239219,9.645229415058065,0.7983139142877146,0.5241937738912317,0.6937257427283964,0.4480242944794624,4.837905811407596,5.704362291704368,2.097655594539428,7.03159191470568,1.175438118697979,2.585296802565007,0.6535832095890832,1.3234904618295813,9.124795020119238,3.198069357699968,3.940019958226531,1.8270421406393555,12.957919199926572,1.2299220131404314
